municipio_id,municipio_nome,municipio_cod_tjsp,municipio_nome_tjsp,comarca_id,comarca_munsede
3514502,Duartina,6664,Duartina,3514502,1
3514601,Dumont,6665,Dumont,3551702,0
3514700,Echaporã,6666,Echaporã,3504008,0
3514809,Eldorado,6667,Eldorado,3514809,1
3514908,Elias Fausto,6668,Elias Fausto,3531803,0
3514924,Elisiário,6669,Elisiário,3511102,0
3514957,Embaúba,6670,Embaúba,3533908,0
3515004,Embu das Artes,6671,Embu das Artes,3515004,1
3515103,Embu-Guaçu,6672,Embu-Guaçu,3515103,1
3515129,Emilianópolis,6673,Emilianópolis,3541208,0
3515152,Engenheiro Coelho,6674,Engenheiro Coelho,3503802,0
3515186,Espírito Santo do Pinhal,6675,Espírito Santo do Pinhal,3515186,1
3515194,Espírito Santo do Turvo,6676,Espírito Santo do Turvo,3546405,0
3557303,Estiva Gerbi,7148,Estiva Gerbi,3530706,0
3515202,Estrela d'Oeste,6677,Estrela dOeste,3515202,1
3515301,Estrela do Norte,6678,Estrela do Norte,3539202,0
3515350,Euclides da Cunha Paulista,6679,Euclides da Cunha Paulista,3554300,0
3515400,Fartura,6680,Fartura,3515400,1
3515608,Fernando Prestes,6682,Fernando Prestes,3553708,0
3515509,Fernandópolis,6681,Fernandópolis,3515509,1
3515657,Fernão,6683,Fernão,3516606,0
3515707,Ferraz de Vasconcelos,6684,Ferraz de Vasconcelos,3515707,1
3515806,Flora Rica,6685,Flora Rica,3534906,0
3515905,Floreal,6686,Floreal,3532603,0
3516101,Florínea,6688,Florínia,3504008,0
3516002,Flórida Paulista,6687,Flórida Paulista,3516002,1
3516200,Franca,6689,Franca,3516200,1
3516309,Francisco Morato,6690,Francisco Morato,3516309,1
3516408,Franco da Rocha,6691,Franco da Rocha,3516408,1
3516507,Gabriel Monteiro,6692,Gabriel Monteiro,3506409,0
3516705,Garça,6694,Garça,3516705,1
3516804,Gastão Vidigal,6695,Gastão Vidigal,3532603,0
3516853,Gavião Peixoto,6696,Gavião Peixoto,3503208,0
3516606,Gália,6693,Gália,3516606,1
3516903,General Salgado,6697,General Salgado,3516903,1
3517000,Getulina,6698,Getulina,3517000,1
3517109,Glicério,6699,Glicério,3537305,0
3517208,Guaiçara,6700,Guaiçara,3527108,0
